round,outer_fold,mcc,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,specificity,hyperparams,feature_selection_counts,features_used_for_final_model
0,0,0.17933401579828562,0.5747126436781609,0.5736200822078685,0.5487804878048781,0.8587786259541985,0.6696428571428571,0.5736200822078685,0.28846153846153844,"{""boosting_type"": ""gbdt"", ""num_leaves"": 71, ""max_depth"": 98, ""learning_rate"": 2.078044289691501e-05, ""n_estimators"": 579, ""min_child_samples"": 89, ""reg_alpha"": 0.14180261278003548, ""reg_lambda"": 0.7769183076930326, ""bagging_freq"": 4, ""bagging_fraction"": 0.544355727846567, ""feature_fraction"": 0.6061485908819394}","{""695"": 1, ""640"": 1, ""987"": 1, ""801"": 1, ""750"": 3, ""317"": 1, ""696"": 2, ""782"": 2, ""676"": 1, ""731"": 3, ""683"": 1, ""839"": 1, ""716"": 1, ""1007"": 1, ""730"": 1, ""711"": 1, ""712"": 1, ""998"": 1, ""624"": 1, ""941"": 1, ""315"": 1, ""751"": 1, ""1183"": 1, ""339"": 1}","[750, 731, 696, 782, 695, 640, 987, 801, 317, 676]"
0,1,0.20632492270917174,0.6026871401151631,0.6025862068965517,0.59375,0.6551724137931034,0.6229508196721312,0.6025862068965517,0.55,"{""boosting_type"": ""gbdt"", ""num_leaves"": 96, ""max_depth"": 60, ""learning_rate"": 0.0017453310896641818, ""n_estimators"": 143, ""min_child_samples"": 22, ""reg_alpha"": 0.9835131626884406, ""reg_lambda"": 0.313502567339165, ""bagging_freq"": 5, ""bagging_fraction"": 0.6981986147796838, ""feature_fraction"": 0.1881267492849185}","{""749"": 1, ""818"": 1, ""337"": 1, ""1137"": 1, ""604"": 1, ""1180"": 1, ""986"": 1, ""730"": 1, ""750"": 2, ""731"": 2, ""713"": 1, ""1038"": 1, ""960"": 1, ""801"": 1, ""694"": 2, ""1179"": 1, ""782"": 1, ""967"": 1, ""712"": 1, ""714"": 1, ""1092"": 1, ""661"": 1, ""339"": 1, ""329"": 1, ""676"": 1, ""278"": 1, ""861"": 1}","[750, 731, 694, 749, 818, 337, 1137, 604, 1180, 986]"
0,2,0.2777516439139919,0.6295585412667947,0.6292071912761568,0.5955056179775281,0.8122605363984674,0.6871961102106969,0.6292071912761568,0.4461538461538462,"{""boosting_type"": ""dart"", ""num_leaves"": 54, ""max_depth"": 28, ""learning_rate"": 1.458459650974776e-05, ""n_estimators"": 833, ""min_child_samples"": 3, ""reg_alpha"": 0.7062688208370741, ""reg_lambda"": 0.8611324086245475, ""bagging_freq"": 7, ""bagging_fraction"": 0.3462309576690088, ""feature_fraction"": 0.5591744484652323}","{""714"": 1, ""1138"": 1, ""781"": 2, ""329"": 1, ""715"": 1, ""879"": 1, ""1007"": 1, ""695"": 1, ""277"": 1, ""713"": 1, ""731"": 2, ""1036"": 1, ""682"": 1, ""802"": 1, ""676"": 1, ""750"": 1, ""712"": 2, ""675"": 1, ""787"": 1, ""311"": 1, ""859"": 1, ""339"": 1, ""1197"": 1, ""711"": 1, ""683"": 1, ""328"": 1, ""730"": 1}","[781, 731, 712, 714, 1138, 329, 715, 879, 1007, 695]"
0,3,0.1516571615317106,0.5758157389635317,0.5758252284114354,0.5775193798449613,0.5708812260536399,0.5741811175337187,0.5758252284114352,0.5807692307692308,"{""boosting_type"": ""rf"", ""num_leaves"": 71, ""max_depth"": 62, ""learning_rate"": 0.0718649416320877, ""n_estimators"": 221, ""min_child_samples"": 57, ""reg_alpha"": 0.44976471258083695, ""reg_lambda"": 0.4297351883798344, ""bagging_freq"": 8, ""bagging_fraction"": 0.7709347612018129, ""feature_fraction"": 0.982120626143814}","{""712"": 1, ""855"": 1, ""682"": 1, ""761"": 1, ""697"": 1, ""333"": 1, ""711"": 2, ""676"": 1, ""967"": 1, ""692"": 2, ""693"": 1, ""987"": 1, ""314"": 1, ""664"": 1, ""677"": 1, ""731"": 2, ""1197"": 1, ""673"": 1, ""781"": 2, ""623"": 1, ""1115"": 1, ""329"": 1, ""732"": 1, ""751"": 1, ""1198"": 1, ""866"": 1}","[711, 692, 731, 781, 712, 855, 682, 761, 697, 333]"
0,4,0.14097742319635348,0.5700575815738963,0.5699381078691423,0.5631399317406144,0.632183908045977,0.5956678700361011,0.5699381078691423,0.5076923076923077,"{""boosting_type"": ""rf"", ""num_leaves"": 66, ""max_depth"": 55, ""learning_rate"": 1.2161145430243483e-05, ""n_estimators"": 34, ""min_child_samples"": 43, ""reg_alpha"": 0.4904876390623546, ""reg_lambda"": 0.47574668154447175, ""bagging_freq"": 5, ""bagging_fraction"": 0.6781258490969664, ""feature_fraction"": 0.6078206072678008}","{""712"": 3, ""333"": 1, ""644"": 2, ""1119"": 1, ""716"": 1, ""886"": 1, ""730"": 2, ""1198"": 1, ""713"": 3, ""782"": 1, ""881"": 1, ""1196"": 1, ""715"": 1, ""731"": 1, ""711"": 1, ""328"": 2, ""693"": 1, ""602"": 1, ""1177"": 1, ""781"": 1, ""657"": 1, ""899"": 1, ""761"": 1}","[712, 713, 644, 730, 328, 333, 1119, 716, 886, 1198]"
1,0,0.17647178252269843,0.5881226053639846,0.5879770992366413,0.5836298932384342,0.6259541984732825,0.6040515653775322,0.5879770992366412,0.55,"{""boosting_type"": ""dart"", ""num_leaves"": 47, ""max_depth"": 70, ""learning_rate"": 0.04967052119449067, ""n_estimators"": 749, ""min_child_samples"": 1, ""reg_alpha"": 0.01687573402771403, ""reg_lambda"": 0.1850972819890619, ""bagging_freq"": 2, ""bagging_fraction"": 0.9848378520175841, ""feature_fraction"": 0.7462565289579357}","{""731"": 2, ""624"": 1, ""966"": 1, ""899"": 1, ""717"": 1, ""732"": 3, ""781"": 1, ""712"": 2, ""711"": 2, ""713"": 3, ""858"": 1, ""644"": 1, ""1046"": 1, ""1180"": 1, ""714"": 1, ""1197"": 1, ""694"": 1, ""604"": 1, ""761"": 1, ""836"": 1, ""274"": 1, ""946"": 1, ""692"": 1}","[732, 713, 731, 712, 711, 624, 966, 899, 717, 781]"
1,1,0.15228003345252092,0.5758157389635317,0.5757147067491895,0.5694444444444444,0.6283524904214559,0.5974499089253188,0.5757147067491895,0.5230769230769231,"{""boosting_type"": ""dart"", ""num_leaves"": 67, ""max_depth"": 22, ""learning_rate"": 0.00095038902811512, ""n_estimators"": 186, ""min_child_samples"": 42, ""reg_alpha"": 0.8818011227947115, ""reg_lambda"": 0.6094083895377543, ""bagging_freq"": 3, ""bagging_fraction"": 0.44421993554644695, ""feature_fraction"": 0.7727317509367888}","{""712"": 2, ""863"": 1, ""761"": 1, ""1119"": 1, ""657"": 1, ""731"": 3, ""692"": 1, ""751"": 1, ""673"": 1, ""329"": 1, ""937"": 1, ""328"": 1, ""339"": 1, ""730"": 2, ""1198"": 1, ""967"": 1, ""683"": 1, ""711"": 1, ""750"": 1, ""604"": 1, ""1197"": 1, ""945"": 1, ""714"": 1, ""332"": 1, ""749"": 1, ""713"": 1}","[731, 712, 730, 863, 761, 1119, 657, 692, 751, 673]"
1,2,0.23230718063658162,0.6161228406909789,0.6160919540229886,0.6133828996282528,0.632183908045977,0.6226415094339622,0.6160919540229886,0.6,"{""boosting_type"": ""gbdt"", ""num_leaves"": 33, ""max_depth"": 60, ""learning_rate"": 0.0013198443391380103, ""n_estimators"": 436, ""min_child_samples"": 51, ""reg_alpha"": 0.13966786257598374, ""reg_lambda"": 0.5535214439070615, ""bagging_freq"": 2, ""bagging_fraction"": 0.6803052233762098, ""feature_fraction"": 0.6670724247335876}","{""693"": 1, ""867"": 1, ""1186"": 1, ""624"": 1, ""712"": 2, ""1197"": 1, ""676"": 2, ""692"": 2, ""781"": 1, ""694"": 1, ""675"": 1, ""249"": 1, ""1196"": 1, ""334"": 1, ""853"": 1, ""683"": 1, ""802"": 1, ""731"": 2, ""656"": 1, ""864"": 1, ""255"": 1, ""604"": 1, ""697"": 1, ""768"": 1, ""1139"": 1, ""696"": 1}","[712, 676, 692, 731, 693, 867, 1186, 624, 1197, 781]"
1,3,0.20420960986074013,0.6007677543186181,0.6006041850869437,0.5868852459016394,0.685823754789272,0.6325088339222615,0.6006041850869437,0.5153846153846153,"{""boosting_type"": ""dart"", ""num_leaves"": 63, ""max_depth"": 94, ""learning_rate"": 4.963944970810861e-05, ""n_estimators"": 863, ""min_child_samples"": 24, ""reg_alpha"": 0.9969124900804189, ""reg_lambda"": 0.8470871587413208, ""bagging_freq"": 3, ""bagging_fraction"": 0.4077032819134496, ""feature_fraction"": 0.637892623656242}","{""711"": 1, ""682"": 1, ""1062"": 1, ""839"": 1, ""676"": 1, ""781"": 1, ""782"": 2, ""675"": 1, ""730"": 2, ""1009"": 1, ""1118"": 1, ""981"": 1, ""334"": 1, ""624"": 1, ""731"": 1, ""749"": 2, ""715"": 2, ""767"": 1, ""696"": 1, ""327"": 1, ""295"": 1, ""1196"": 1, ""716"": 1, ""644"": 1, ""1001"": 1, ""750"": 1}","[782, 730, 749, 715, 711, 682, 1062, 839, 676, 781]"
1,4,0.17806597836896823,0.5873320537428023,0.5871352785145889,0.5732484076433121,0.6896551724137931,0.6260869565217392,0.5871352785145889,0.4846153846153846,"{""boosting_type"": ""gbdt"", ""num_leaves"": 69, ""max_depth"": 34, ""learning_rate"": 0.00010176452774617823, ""n_estimators"": 455, ""min_child_samples"": 10, ""reg_alpha"": 0.33002800574392144, ""reg_lambda"": 0.9785825442566717, ""bagging_freq"": 5, ""bagging_fraction"": 0.6802402053376095, ""feature_fraction"": 0.7274073710256428}","{""781"": 1, ""844"": 1, ""654"": 1, ""816"": 1, ""1179"": 1, ""319"": 1, ""658"": 1, ""801"": 1, ""731"": 3, ""797"": 1, ""712"": 1, ""821"": 1, ""329"": 1, ""692"": 1, ""713"": 1, ""644"": 1, ""693"": 1, ""711"": 2, ""694"": 1, ""1139"": 1, ""683"": 1, ""328"": 1, ""782"": 1, ""987"": 1, ""750"": 1, ""730"": 1, ""749"": 1}","[731, 711, 781, 844, 654, 816, 1179, 319, 658, 801]"
2,0,0.1762567377794277,0.5881226053639846,0.5880358191426893,0.5860805860805861,0.6106870229007634,0.5981308411214953,0.5880358191426894,0.5653846153846154,"{""boosting_type"": ""gbdt"", ""num_leaves"": 28, ""max_depth"": 4, ""learning_rate"": 0.06739666397388844, ""n_estimators"": 205, ""min_child_samples"": 99, ""reg_alpha"": 0.36417281280777225, ""reg_lambda"": 0.9258310612370949, ""bagging_freq"": 3, ""bagging_fraction"": 0.8801311036779815, ""feature_fraction"": 0.4380516488123821}","{""714"": 2, ""644"": 1, ""899"": 1, ""1041"": 1, ""781"": 2, ""713"": 1, ""715"": 1, ""801"": 1, ""750"": 2, ""1198"": 1, ""694"": 1, ""902"": 1, ""919"": 1, ""731"": 1, ""695"": 2, ""319"": 1, ""782"": 1, ""1196"": 1, ""1052"": 1, ""643"": 1, ""213"": 1, ""839"": 1, ""675"": 1, ""761"": 1, ""749"": 1, ""730"": 1}","[714, 781, 750, 695, 644, 899, 1041, 713, 715, 801]"
2,1,0.1638025962068849,0.581573896353167,0.5814765694076038,0.5749128919860628,0.632183908045977,0.6021897810218978,0.5814765694076038,0.5307692307692308,"{""boosting_type"": ""dart"", ""num_leaves"": 36, ""max_depth"": 71, ""learning_rate"": 0.028950195984504334, ""n_estimators"": 268, ""min_child_samples"": 41, ""reg_alpha"": 0.6758786140184988, ""reg_lambda"": 0.8565919473620284, ""bagging_freq"": 10, ""bagging_fraction"": 0.6369359237088362, ""feature_fraction"": 0.10063274809939685}","{""731"": 3, ""702"": 1, ""868"": 1, ""696"": 1, ""781"": 1, ""711"": 2, ""675"": 1, ""730"": 2, ""334"": 1, ""712"": 3, ""1118"": 1, ""683"": 2, ""1006"": 1, ""732"": 2, ""750"": 1, ""299"": 1, ""339"": 1, ""938"": 1, ""1185"": 1, ""717"": 1, ""966"": 1, ""713"": 1}","[731, 712, 711, 730, 683, 732, 702, 868, 696, 781]"
2,2,0.17164600655065557,0.5854126679462572,0.5853079870321249,0.5778546712802768,0.6398467432950191,0.6072727272727273,0.5853079870321249,0.5307692307692308,"{""boosting_type"": ""dart"", ""num_leaves"": 97, ""max_depth"": 4, ""learning_rate"": 0.01846213972856717, ""n_estimators"": 948, ""min_child_samples"": 5, ""reg_alpha"": 0.9852264061436724, ""reg_lambda"": 0.5185664184741751, ""bagging_freq"": 10, ""bagging_fraction"": 0.9798992890825597, ""feature_fraction"": 0.7510731636459385}","{""711"": 2, ""1058"": 1, ""328"": 2, ""1124"": 1, ""644"": 1, ""712"": 3, ""730"": 1, ""713"": 2, ""731"": 3, ""710"": 1, ""621"": 1, ""859"": 1, ""1156"": 1, ""1165"": 1, ""339"": 1, ""1198"": 1, ""1098"": 1, ""683"": 1, ""717"": 1, ""966"": 1, ""338"": 1, ""750"": 1, ""781"": 1}","[712, 731, 711, 328, 713, 1058, 1124, 644, 730, 710]"
2,3,0.1596134561058,0.5796545105566219,0.5795829649277925,0.575,0.6168582375478927,0.5951940850277264,0.5795829649277926,0.5423076923076923,"{""boosting_type"": ""dart"", ""num_leaves"": 43, ""max_depth"": 47, ""learning_rate"": 0.004601071019504093, ""n_estimators"": 510, ""min_child_samples"": 22, ""reg_alpha"": 0.47123444610748133, ""reg_lambda"": 0.1442767326484048, ""bagging_freq"": 9, ""bagging_fraction"": 0.5026738382849065, ""feature_fraction"": 0.7128807798446669}","{""713"": 1, ""885"": 1, ""1159"": 2, ""781"": 1, ""696"": 3, ""318"": 1, ""782"": 1, ""712"": 3, ""327"": 1, ""714"": 1, ""731"": 2, ""296"": 1, ""662"": 1, ""1137"": 1, ""1063"": 1, ""750"": 1, ""711"": 2, ""732"": 1, ""821"": 1, ""329"": 1, ""1027"": 1, ""695"": 1, ""334"": 1}","[696, 712, 1159, 731, 711, 713, 885, 781, 318, 782]"
